Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,ADELPHI UNIV STATION 01,1 South Ave,Garden City,NY,11530,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,40.719618,-73.649987,2024-10-29,60739,2024-10-29,,,,2014-03-14,J1772
ELEC,Hilton Garden Inn Elmira/Corning - Tesla Destination,35 Arnot Rd,Horseheads,NY,14845,E,Public,,,0,2,0,Tesla Destination,200-8,42.162895,-76.871848,2024-07-01,114955,2024-10-16,P,,,2017-08-09,TESLA
ELEC,Kia of Jamestown,1700 Washington Street,Jamestown,NY,14701,E,Public,24 hours daily,,0,1,0,Blink Network,GPS,42.107833,-79.244838,2024-10-29,257513,2024-10-29,,,,2022-10-03,J1772
ELEC,BORO PARK BORO CHARGE 7,4915 10th Ave,Borough Park,NY,11219,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,40.638545,-73.998658,2024-10-29,220319,2024-10-29,,,,2022-05-28,J1772
ELEC,Quik Park 311 West Broadway LLC - Tesla Destination,311 W Broadway,New York,NY,10013,E,Public,,,0,2,0,Tesla Destination,200-9,40.721801,-74.004237,2024-07-01,115091,2024-10-16,P,,,2016-03-10,TESLA
ELEC,Queens Crossing - Tesla Supercharger,136-20 38th Avenue,Flushing,NY,11354,E,Public,6am-12am daily. Please check Tesla's online station map to see if an adapter is required at this location.,,0,0,4,Tesla,GPS,40.760856,-73.829765,2024-07-01,153417,2024-08-14,P,,,2020-01-31,TESLA
ELEC,JATC LU840 JATC LU840,1401 NY-5,Geneva,NY,14456,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.86074,-77.049868,2024-10-29,162175,2024-10-29,,,,2020-06-12,J1772
ELEC,AECSOLAR STATION 1 AEC,210 Washington Ave Ext,Albany,NY,12203,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.70329,-73.85692,2024-10-29,192609,2024-10-29,,,,2021-07-07,J1772
ELEC,WS Healey Chevrolet,5216 NY-17M,New Hampton,NY,10958,E,Public,24 hours daily,,0,5,2,CHARGESMART_EV,GPS,41.419999,-74.426599,2024-10-29,334196,2024-10-29,,,,2023-07-17,CHADEMO J1772 J1772COMBO
ELEC,MARKET 32 EV BALLSTON EV1,115 Ballston Ave,Saratoga Springs,NY,12866,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,43.073135,-73.792755,2024-10-29,227924,2024-10-29,,,,2022-09-21,J1772
ELEC,Hannaford Plaza - East Greenbush,598 Columbia Tpke,East Greenbush,NY,12061,E,Public,24 hours daily,,0,0,6,eVgo Network,GPS,42.598343,-73.71103,2024-10-28,236460,2024-10-28,,,,2022-11-22,CHADEMO J1772COMBO
