id,station_name,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,latitude,longitude
185360,ADKHOSPITALITY HAMPTON INN 1.2,Lake George,NY,0,2,0,43.409214,-73.7127
182282,MINNEWASKA EV 1,Kerhonkson,NY,0,1,0,41.730037,-74.234883
360567,BELMONTEASTVIEW BLD 13,Central Islip,NY,0,2,0,40.768771,-73.192174
94829,Southeast Station - Metro North Train Station,Brewster,NY,0,4,0,41.416575,-73.624303
261443,Joe Basil Resale Center,Depew,NY,0,3,0,42.890707,-78.696281
122489,iPark 400 E 85th St - Tesla Destination,Manhattan,NY,0,4,0,40.775953,-73.949738
355693,James Mitsubishi of Rome - Non-Networked,Rome,NY,0,2,0,43.237276,-75.436931
324773,Anchor Inn and Marina,Watkins Glen,NY,0,5,0,42.3994,-76.88597
166799,VERONA LA QUINTA 3,Verona,NY,0,2,0,43.122227,-75.59269
223262,Breitbeck Park,Oswego,NY,0,4,0,43.46144,-76.52383
173985,BURNS MGT HV 4,Guilderland,NY,0,2,0,42.692516,-73.885172
153287,McDonough's Valley Hardware,Keene Valley,NY,0,1,0,44.19156,-73.786713
257492,444 Clinton,Brooklyn,NY,0,11,0,40.684979,-73.967922
220394,BNE MASTER 5000 MURRAY ST4,Pearl River,NY,0,2,0,41.04637,-74.00326
168146,HAMPTON INN STATION 1,Staten Island,NY,0,2,0,40.612696,-74.179012
334217,Christman's Windham House,Windham,NY,0,20,0,42.304708,-74.280845
206084,CDTA MENANDS 2,Menands,NY,0,2,0,42.702189,-73.715762
356962,Village Motors - Parking Lot,Victor,NY,0,2,0,42.985333,-77.416726
225561,ATRIUM EVCHARGE EV2,Clifton Park,NY,0,2,0,42.856255,-73.78599
357108,87-30 204th St - Garage,Queens,NY,0,44,0,40.72165,-73.760747
197207,WHITE PLAINS EVSE4,White Plains,NY,0,2,0,41.029174,-73.759362
321151,Jericho Commons - Tesla Supercharger,Jericho,NY,0,0,12,40.789598,-73.53614
348971,365 Bond,Brooklyn,NY,0,6,0,40.677677,-73.990321
162421,SCHENECTADY LIBERTY-YATES,Schenectady,NY,0,2,0,42.815406,-73.940711
162206,NATIONAL GRID KOHLS BUFFALO,Buffalo,NY,0,2,0,42.94474,-78.870385
324887,Village Crest Apartments - East,Poughkeepsie,NY,0,8,0,41.6415,-73.86819
115107,"The Carlyle Hotel, A Rosewood Hotel - Tesla Destination",New York,NY,0,2,0,40.77438,-73.963157
222223,ELLIS CHEVY LVL2#1,Malone,NY,0,2,0,44.850006,-74.284325
203140,MARRIOTTSS STATION 3,Saratoga Springs,NY,0,2,0,43.089337,-73.777234
332683,CASALE RENTAL 2,Clifton Park,NY,0,2,0,42.858162,-73.757577
227686,Craft Marketplace,Plattsburgh,NY,0,6,0,44.698586,-73.447913
204967,BPRT #1 STATION 1,Blue Point,NY,0,2,0,40.743437,-73.035711
163548,MICHAEL KING STATION 1,Clifton Park,NY,0,2,0,42.865273,-73.78956
180990,CAR CHARGERS NUMBER 434,Jamesville,NY,0,1,0,43.013306,-76.08437
143566,SUNFLOWER MARKET,Woodstock,NY,0,2,0,42.039112,-74.113426
356987,300 E 54th St - Parking Garage,New York,NY,0,10,0,40.757093,-73.966349
114892,Discount Parking 180 Ashland Place - Tesla Destination,Brooklyn,NY,0,2,0,40.689457,-73.978606
303548,1890 Bailey Ave,Buffalo,NY,0,3,0,42.905937,-78.814263
115010,ABM Parking 13 East 54th Street LLC - Tesla Destination,New York,NY,0,2,0,40.760648,-73.974193
341925,Service Building,Valley Stream,NY,0,0,2,40.66807,-73.71115
175102,PRIMA LOFTS LL ALB LOFTS 1.1,Menands,NY,0,2,0,42.676205,-73.73344
150805,HYATT PLACE HOTEL AMHERST 1,Amherst,NY,0,2,0,42.960632,-78.76919
181868,TCR TOWERS EV STATION 2,Albany,NY,0,2,0,42.711919,-73.809684
235960,BROWNS CDJR,Patchogue,NY,0,2,0,40.784141,-73.008171
202124,WATERVLIET PARK 4,Watervliet,NY,0,2,0,42.729469,-73.698687
200496,SAG HARBOR LONG WHARF,Sag Harbor,NY,0,2,0,41.00328,-72.29588
347372,Apartments at the Lyceum,Buffalo,NY,0,2,0,42.894352,-78.820931
149620,CITY OF BEACON STATION 1,Beacon,NY,0,2,0,41.507568,-73.9776
357056,Fleetwood Square - 546 Locust Lower Level Garage,Mount Vernon,NY,0,4,0,40.923345,-73.84153
123077,SUNY Empire,Saratoga Springs,NY,0,2,0,43.077341,-73.782443
207889,1 WATERLINE STATION#6,New York,NY,0,2,0,40.772912,-73.992589
114973,Icon Parking 360 E 65th - Tesla Destination,Manhattan,NY,0,4,0,40.766853,-73.967711
190532,iPark - 67th Street,New York,NY,0,1,0,40.769134,-73.968707
217203,MONTANTE SOLAR STATION 5,Buffalo,NY,0,2,0,42.91819,-78.867114
195885,CT4020-HD-GW PSB-LEWIS,Lewis,NY,0,2,0,44.282364,-73.537252
168176,RTS STJFISHER 1,Pittsford,NY,0,2,0,43.112196,-77.50809
324849,Rosman Shopping Plaza,Garnerville,NY,0,20,0,41.19938,-74.00849
218506,ATHENS CHARGER 2,Athens,NY,0,2,0,42.260996,-73.809167
229075,Matthews Hyundai of Schenectady,Schenectady,NY,0,1,0,42.765891,-73.886736
115179,Quik Park Little West LLC - Tesla Destination,New York,NY,0,3,0,40.70663,-74.016916
347944,Sherwood Forest,Wappinger Falls,NY,0,10,0,41.55512,-73.94827
223300,191 East 71st Street,New York,NY,0,4,0,40.76945,-73.96154
174042,SUNY NEW PALTZ ROUTE 32 (2),New Paltz,NY,0,2,0,41.739405,-74.079828
359304,Charlie Johns Store - Tesla Destination,Speculator,NY,0,4,0,43.503094,-74.364291
174018,SHELDON SUFFERN ORANGE AV APT 1,Suffern,NY,0,2,0,41.115119,-74.1537
236636,Residences at Covered Bridge,Liverpool,NY,0,12,0,43.10613,-76.20131
356945,Townsend Ave - Parking lot Ground level,Bronx,NY,0,6,0,40.847928,-73.911582
226539,Inn at Taughannock Falls - Tesla Destination,Trumansburg,NY,0,2,0,42.54467,-76.59838
331153,Smithtown Acura - Series Chargers,Saint James,NY,0,1,0,40.860741,-73.149436
193844,SIENA COLLEGE FOY HALL EVSE1,Latham,NY,0,2,0,42.71947,-73.7531
356057,Stewart's Shops - Tesla Supercharger,Glenmont,NY,0,0,8,42.619944,-73.78312
322889,ULSTER COUNTY UCAT 3,Kingston,NY,0,2,0,41.917896,-74.0171
346689,ARTPARK ARTPARK 1,Lewiston,NY,0,2,0,43.166409,-79.045935
230418,Zero Place,New Paltz,NY,0,24,0,41.754665,-74.084368
115166,iPark 59-63 Allen Street - Tesla Destination,New York,NY,0,3,0,40.717143,-73.991597
194934,SIENA COLLEGE LOT U EVSE 1,Albany,NY,0,2,0,42.715714,-73.74955
162145,CITY OF ONEONTA DIETZ ST LOT,Oneonta,NY,0,2,0,42.455733,-75.06276
123260,Letchworth,Mt Morris,NY,0,2,0,42.735491,-77.907099
